ID_Orden,Fecha,Region,Canal_Venta,Categoria,Producto,Precio_Unitario_USD,Cantidad,Descuento,Venta_Total_USD
ORD-00001,2024-02-10,Biobío,App Móvil,Componentes,Disco SSD NVMe 2TB,100.0,2,0.05,190.0
ORD-00002,2024-01-06,Valparaíso,Sitio Web,Notebooks,Laptop Gamer i7 16GB,757.0,1,0.1,681.3
ORD-00003,2024-02-29,RM Santiago,App Móvil,Notebooks,Ultrabook Ryzen 7,648.0,3,0.0,1944.0
ORD-00004,2024-03-17,RM Santiago,App Móvil,Monitores,Monitor Gaming 144Hz 27',300.0,7,0.1,1890.0
ORD-00005,2024-06-13,Valparaíso,App Móvil,Componentes,Tarjeta de Video RTX 4070,264.0,1,0.1,237.6
ORD-00006,2024-10-21,Antofagasta,Marketplace,Componentes,Tarjeta de Video RTX 4070,461.0,1,0.15,391.85
ORD-00007,2024-04-26,RM Santiago,Marketplace,Monitores,Monitor 4K 32' UltraWide,640.0,5,0.0,3200.0
ORD-00008,2024-12-19,Valparaíso,Sitio Web,Monitores,Monitor Gaming 144Hz 27',228.0,4,0.15,775.2
ORD-00009,2024-01-11,RM Santiago,Sitio Web,Periféricos,Teclado Mecánico RGB,523.0,4,0.1,1882.8
ORD-00010,2024-10-09,Antofagasta,Sitio Web,Componentes,Tarjeta de Video RTX 4070,948.0,1,0.1,853.2
ORD-00011,2024-06-22,Antofagasta,Marketplace,Componentes,Memoria RAM 32GB DDR5,766.0,7,0.05,5093.9
ORD-00012,2024-04-23,Biobío,Sitio Web,Monitores,Monitor Gaming 144Hz 27',932.0,4,0.1,3355.2
ORD-00013,2024-07-16,RM Santiago,Sitio Web,Monitores,Monitor 4K 32' UltraWide,734.0,2,0.0,1468.0
ORD-00014,2024-09-01,RM Santiago,App Móvil,Notebooks,MacBook Pro M3,96.0,6,0.0,576.0
ORD-00015,2024-05-11,Antofagasta,Marketplace,Componentes,Memoria RAM 32GB DDR5,978.0,6,0.1,5281.2
ORD-00016,2024-01-22,Valparaíso,Marketplace,Monitores,Monitor Gaming 144Hz 27',822.0,7,0.05,5466.3
ORD-00017,2024-01-06,Antofagasta,Marketplace,Periféricos,Audífonos Noise Cancelling,381.0,5,0.15,1619.25
ORD-00018,2024-07-03,Valparaíso,Marketplace,Periféricos,Audífonos Noise Cancelling,614.0,7,0.15,3653.3
ORD-00019,2024-10-07,Antofagasta,App Móvil,Componentes,Memoria RAM 32GB DDR5,880.0,5,0.05,4180.0
ORD-00020,2024-11-12,RM Santiago,Sitio Web,Notebooks,Laptop Gamer i7 16GB,840.0,3,0.05,2394.0
ORD-00021,2024-06-15,Antofagasta,App Móvil,Periféricos,Teclado Mecánico RGB,634.0,1,0.0,634.0
ORD-00022,2024-03-02,RM Santiago,App Móvil,Periféricos,Mouse Inalámbrico Pro,104.0,5,0.0,520.0
ORD-00023,2024-05-24,Biobío,Sitio Web,Monitores,Monitor 4K 32' UltraWide,1136.0,7,0.0,7952.0
ORD-00024,2024-05-02,RM Santiago,Marketplace,Monitores,Monitor 4K 32' UltraWide,215.0,3,0.0,645.0
ORD-00025,2024-01-27,Antofagasta,App Móvil,Componentes,Memoria RAM 32GB DDR5,688.0,7,0.05,4575.2
ORD-00026,2024-09-15,RM Santiago,Marketplace,Notebooks,MacBook Pro M3,682.0,2,0.05,1295.8
ORD-00027,2024-01-07,Biobío,Sitio Web,Notebooks,MacBook Pro M3,616.0,2,0.05,1170.4
ORD-00028,2024-04-07,Biobío,App Móvil,Notebooks,MacBook Pro M3,269.0,1,0.0,269.0
ORD-00029,2024-12-30,Antofagasta,Sitio Web,Monitores,Monitor Gaming 144Hz 27',233.0,6,0.0,1398.0
ORD-00030,2024-01-26,Antofagasta,Sitio Web,Componentes,Tarjeta de Video RTX 4070,838.0,5,0.15,3561.5
ORD-00031,2024-11-02,Antofagasta,Sitio Web,Componentes,Tarjeta de Video RTX 4070,232.0,2,0.15,394.4
ORD-00032,2024-01-02,Valparaíso,Marketplace,Componentes,Memoria RAM 32GB DDR5,383.0,3,0.1,1034.1
ORD-00033,2024-08-30,Valparaíso,Marketplace,Monitores,Monitor 4K 32' UltraWide,1164.0,6,0.0,6984.0
ORD-00034,2024-04-09,Antofagasta,App Móvil,Notebooks,Ultrabook Ryzen 7,336.0,2,0.05,638.4
ORD-00035,2024-05-25,RM Santiago,Marketplace,Notebooks,MacBook Pro M3,896.0,7,0.05,5958.4
ORD-00036,2024-05-15,Valparaíso,Marketplace,Periféricos,Teclado Mecánico RGB,469.0,4,0.1,1688.4
ORD-00037,2024-10-03,Biobío,Sitio Web,Componentes,Tarjeta de Video RTX 4070,631.0,2,0.15,1072.7
