ID_Transaccion,Fecha_Hora,Monto_CLP,Medio_Pago,Pasarela_Origen,Pais_IP,Dispositivo,Score_Riesgo_Engine,Intentos_Fallidos_Previos,Es_Fraude
TXN-2026-00001,2026-01-04 03:57:00,18000.0,Tarjeta Credito,Mercado Pago,Chile,Web Desktop,0.4,0,0
TXN-2026-00002,2026-05-24 22:11:00,20400.0,Prepago Digital,Kushki,Chile,Web Mobile,0.35,0,0
TXN-2026-00003,2026-08-08 08:23:00,24400.0,Tarjeta Credito,Getnet,Chile,Web Mobile,0.43,0,0
TXN-2026-00004,2026-02-06 19:51:00,92900.0,Tarjeta Debito,Kushki,Chile,Mobile App Android,0.38,0,0
TXN-2026-00005,2026-04-05 01:40:00,39900.0,Tarjeta Debito,Kushki,Chile,Mobile App Android,0.23,1,0
TXN-2026-00006,2026-04-26 17:33:00,54400.0,Tarjeta Debito,Getnet,Perú,Mobile App iOS,0.9,5,1
TXN-2026-00007,2026-05-28 01:46:00,18700.0,Tarjeta Credito,Webpay Plus,Chile,Web Mobile,0.29,0,0
TXN-2026-00008,2026-05-16 14:12:00,22200.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App Android,0.35,0,0
TXN-2026-00009,2026-03-01 11:06:00,151600.0,Tarjeta Debito,Getnet,Chile,Web Desktop,0.3,0,0
TXN-2026-00010,2026-05-31 05:34:00,96300.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App iOS,0.06,0,0
TXN-2026-00011,2026-07-23 14:51:00,11400.0,Tarjeta Debito,Webpay Plus,Chile,Web Desktop,0.16,0,0
TXN-2026-00012,2026-05-25 10:06:00,15200.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App Android,0.45,0,0
TXN-2026-00013,2026-01-07 15:09:00,4100.0,Tarjeta Credito,Mercado Pago,Chile,Web Mobile,0.43,0,0
TXN-2026-00014,2026-07-16 16:05:00,314800.0,Tarjeta Debito,Getnet,Chile,Web Mobile,0.66,4,1
TXN-2026-00015,2026-02-16 13:00:00,9400.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App iOS,0.22,0,0
TXN-2026-00016,2026-07-07 04:49:00,20100.0,Tarjeta Debito,Kushki,Chile,Web Mobile,0.37,0,0
TXN-2026-00017,2026-03-09 21:36:00,25200.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App Android,0.04,0,0
TXN-2026-00018,2026-01-01 05:07:00,51400.0,Prepago Digital,Kushki,EE.UU.,Mobile App iOS,0.31,0,0
TXN-2026-00019,2026-03-16 02:46:00,108600.0,Tarjeta Credito,Getnet,Perú,Mobile App iOS,0.79,3,1
TXN-2026-00020,2026-03-13 17:31:00,6900.0,Tarjeta Credito,Getnet,Chile,Mobile App Android,0.2,0,0
TXN-2026-00021,2026-01-07 19:09:00,28400.0,Prepago Digital,Mercado Pago,Chile,Mobile App Android,0.3,0,0
TXN-2026-00022,2026-02-01 16:34:00,4800.0,Tarjeta Credito,Mercado Pago,EE.UU.,Web Mobile,0.4,0,0
TXN-2026-00023,2026-01-15 15:48:00,14000.0,Transferencia Khipu,Mercado Pago,Chile,Mobile App Android,0.39,0,0
TXN-2026-00024,2026-07-12 19:09:00,5400.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App Android,0.3,0,0
TXN-2026-00025,2026-06-23 14:48:00,20700.0,Tarjeta Credito,Getnet,Chile,Mobile App iOS,0.44,0,0
TXN-2026-00026,2026-02-24 09:49:00,33000.0,Tarjeta Credito,Kushki,Chile,Web Desktop,0.39,0,0
TXN-2026-00027,2026-03-09 15:24:00,24800.0,Tarjeta Debito,Webpay Plus,Argentina,Mobile App Android,0.19,1,0
TXN-2026-00028,2026-06-23 04:18:00,554000.0,Tarjeta Debito,Kushki,Chile,Mobile App iOS,0.66,2,1
TXN-2026-00029,2026-08-17 07:32:00,7000.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App Android,0.14,0,0
TXN-2026-00030,2026-03-18 01:36:00,1600.0,Tarjeta Debito,Getnet,Chile,Mobile App Android,0.44,0,0
TXN-2026-00031,2026-07-05 05:59:00,73100.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App Android,0.15,0,0
TXN-2026-00032,2026-08-16 12:23:00,40000.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.34,0,0
TXN-2026-00033,2026-08-21 18:57:00,8400.0,Tarjeta Debito,Getnet,Chile,Web Mobile,0.27,0,0
TXN-2026-00034,2026-05-27 18:47:00,11200.0,Tarjeta Credito,Kushki,Perú,Mobile App Android,0.26,0,0
TXN-2026-00035,2026-01-31 00:25:00,18400.0,Tarjeta Credito,Webpay Plus,Chile,Web Mobile,0.42,1,0
TXN-2026-00036,2026-05-16 06:00:00,48500.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App iOS,0.35,0,0
TXN-2026-00037,2026-05-22 13:07:00,10800.0,Tarjeta Debito,Webpay Plus,Argentina,Mobile App iOS,0.22,0,0
TXN-2026-00038,2026-02-26 03:55:00,108700.0,Tarjeta Debito,Webpay Plus,Perú,Web Desktop,0.66,3,1
TXN-2026-00039,2026-06-22 12:46:00,5600.0,Tarjeta Credito,Webpay Plus,EE.UU.,Web Mobile,0.24,0,0
TXN-2026-00040,2026-05-09 18:04:00,49500.0,Tarjeta Credito,Webpay Plus,Chile,Web Mobile,0.15,0,0
TXN-2026-00041,2026-04-02 09:16:00,12600.0,Tarjeta Credito,Webpay Plus,Argentina,Web Mobile,0.12,0,0
TXN-2026-00042,2026-04-02 03:17:00,6800.0,Tarjeta Credito,Getnet,Chile,Mobile App Android,0.3,0,0
TXN-2026-00043,2026-07-17 12:45:00,41300.0,Tarjeta Credito,Mercado Pago,Chile,Web Desktop,0.02,1,0
TXN-2026-00044,2026-08-17 04:30:00,72800.0,Tarjeta Debito,Getnet,Perú,Mobile App iOS,0.05,1,0
TXN-2026-00045,2026-04-24 09:36:00,12900.0,Tarjeta Credito,Mercado Pago,Chile,Web Mobile,0.26,0,0
TXN-2026-00046,2026-01-05 00:17:00,7800.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.1,0,0
TXN-2026-00047,2026-03-11 03:51:00,33900.0,Transferencia Khipu,Webpay Plus,Chile,Web Desktop,0.44,0,0
TXN-2026-00048,2026-05-06 05:43:00,16100.0,Tarjeta Debito,Getnet,Chile,Web Desktop,0.15,0,0
TXN-2026-00049,2026-06-12 18:07:00,2700.0,Prepago Digital,Webpay Plus,Chile,Mobile App iOS,0.15,0,0
TXN-2026-00050,2026-01-18 08:25:00,9900.0,Tarjeta Credito,Getnet,EE.UU.,Web Desktop,0.05,0,0
TXN-2026-00051,2026-08-04 23:55:00,7400.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.38,1,0
TXN-2026-00052,2026-07-21 10:18:00,42400.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App Android,0.13,1,0
TXN-2026-00053,2026-07-16 17:22:00,9300.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.36,0,0
TXN-2026-00054,2026-01-20 14:54:00,40100.0,Transferencia Khipu,Mercado Pago,Chile,Mobile App iOS,0.33,0,0
TXN-2026-00055,2026-08-24 05:20:00,65500.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.05,1,0
TXN-2026-00056,2026-02-15 23:37:00,40800.0,Transferencia Khipu,Webpay Plus,Chile,Web Desktop,0.11,0,0
TXN-2026-00057,2026-07-14 06:12:00,22900.0,Tarjeta Credito,Getnet,Argentina,Web Desktop,0.29,1,0
TXN-2026-00058,2026-01-13 23:22:00,33400.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.09,0,0
TXN-2026-00059,2026-01-13 10:30:00,14600.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.35,0,0
TXN-2026-00060,2026-01-01 17:14:00,42300.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App iOS,0.41,0,0
TXN-2026-00061,2026-08-25 04:28:00,13500.0,Tarjeta Debito,Kushki,Argentina,Mobile App iOS,0.31,0,0
TXN-2026-00062,2026-07-19 09:57:00,6300.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.01,0,0
TXN-2026-00063,2026-07-10 15:33:00,5100.0,Transferencia Khipu,Webpay Plus,Chile,Web Desktop,0.26,0,0
TXN-2026-00064,2026-02-25 07:25:00,3300.0,Tarjeta Debito,Kushki,Chile,Web Mobile,0.04,1,0
TXN-2026-00065,2026-06-15 23:05:00,15800.0,Transferencia Khipu,Getnet,Chile,Web Mobile,0.33,1,0
TXN-2026-00066,2026-05-22 17:51:00,2900.0,Tarjeta Debito,Kushki,Chile,Mobile App Android,0.42,0,0
TXN-2026-00067,2026-08-21 10:52:00,40000.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.44,0,0
TXN-2026-00068,2026-05-08 10:59:00,39100.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App iOS,0.17,0,0
TXN-2026-00069,2026-05-24 15:11:00,49800.0,Tarjeta Debito,Getnet,Chile,Web Mobile,0.32,0,0
TXN-2026-00070,2026-03-10 11:16:00,47100.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.23,0,0
TXN-2026-00071,2026-06-13 17:54:00,13400.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App iOS,0.05,0,0
TXN-2026-00072,2026-05-07 05:55:00,19400.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.27,1,0
TXN-2026-00073,2026-08-02 04:04:00,21000.0,Tarjeta Debito,Kushki,Chile,Mobile App iOS,0.26,0,0
TXN-2026-00074,2026-01-15 10:01:00,76600.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App iOS,0.19,0,0
TXN-2026-00075,2026-03-17 05:01:00,3200.0,Transferencia Khipu,Webpay Plus,Chile,Mobile App Android,0.31,0,0
TXN-2026-00076,2026-01-05 18:13:00,217800.0,Tarjeta Credito,Webpay Plus,Chile,Web Desktop,0.41,0,0
TXN-2026-00077,2026-06-16 20:09:00,10600.0,Transferencia Khipu,Kushki,Chile,Mobile App Android,0.42,0,0
TXN-2026-00078,2026-05-19 16:19:00,9300.0,Tarjeta Debito,Getnet,Colombia,Web Mobile,0.33,0,0
TXN-2026-00079,2026-08-02 17:38:00,13700.0,Tarjeta Debito,Getnet,Chile,Mobile App Android,0.28,0,0
TXN-2026-00080,2026-03-01 02:31:00,366300.0,Tarjeta Credito,Getnet,Chile,Web Mobile,0.94,5,1
TXN-2026-00081,2026-06-23 09:36:00,6900.0,Tarjeta Credito,Mercado Pago,Chile,Web Desktop,0.39,0,0
TXN-2026-00082,2026-08-12 13:14:00,222600.0,Tarjeta Debito,Getnet,Chile,Web Desktop,0.96,5,1
TXN-2026-00083,2026-06-14 13:10:00,15200.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.25,0,0
TXN-2026-00084,2026-01-18 09:33:00,18200.0,Transferencia Khipu,Webpay Plus,Chile,Web Desktop,0.32,1,0
TXN-2026-00085,2026-04-16 04:11:00,7400.0,Tarjeta Debito,Mercado Pago,Chile,Web Desktop,0.02,0,0
TXN-2026-00086,2026-04-07 00:33:00,13000.0,Tarjeta Debito,Getnet,Perú,Web Desktop,0.15,0,0
TXN-2026-00087,2026-04-26 08:59:00,19000.0,Tarjeta Credito,Webpay Plus,Colombia,Web Mobile,0.17,0,0
TXN-2026-00088,2026-06-30 02:30:00,3700.0,Prepago Digital,Kushki,Chile,Web Desktop,0.06,1,0
TXN-2026-00089,2026-04-07 06:47:00,47100.0,Transferencia Khipu,Getnet,Chile,Web Desktop,0.43,0,0
TXN-2026-00090,2026-08-28 16:45:00,38700.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.24,0,0
TXN-2026-00091,2026-04-04 19:18:00,1800.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App iOS,0.31,0,0
TXN-2026-00092,2026-05-14 03:54:00,33300.0,Tarjeta Debito,Webpay Plus,Chile,Web Desktop,0.86,3,1
TXN-2026-00093,2026-03-14 17:10:00,8400.0,Transferencia Khipu,Webpay Plus,Chile,Mobile App iOS,0.25,0,0
TXN-2026-00094,2026-01-23 14:11:00,3700.0,Transferencia Khipu,Mercado Pago,Chile,Mobile App Android,0.15,0,0
TXN-2026-00095,2026-01-04 09:16:00,16200.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.13,0,0
TXN-2026-00096,2026-06-13 09:01:00,4200.0,Prepago Digital,Webpay Plus,Chile,Mobile App Android,0.45,0,0
TXN-2026-00097,2026-08-10 07:00:00,20200.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.22,1,0
TXN-2026-00098,2026-05-28 19:18:00,3300.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App Android,0.35,0,0
TXN-2026-00099,2026-01-22 07:40:00,10800.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App Android,0.09,0,0
TXN-2026-00100,2026-04-28 16:23:00,7100.0,Transferencia Khipu,Kushki,EE.UU.,Web Desktop,0.08,0,0
TXN-2026-00101,2026-01-05 18:44:00,371900.0,Tarjeta Debito,Getnet,Colombia,Web Mobile,0.13,1,0
TXN-2026-00102,2026-03-24 20:45:00,37600.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App Android,0.11,0,0
TXN-2026-00103,2026-04-21 09:37:00,32800.0,Tarjeta Credito,Mercado Pago,Perú,Mobile App iOS,0.38,0,0
TXN-2026-00104,2026-02-28 06:12:00,67400.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.15,0,0
TXN-2026-00105,2026-04-15 08:59:00,10600.0,Tarjeta Credito,Kushki,Perú,Web Mobile,0.07,0,0
TXN-2026-00106,2026-04-09 14:59:00,73000.0,Tarjeta Debito,Kushki,EE.UU.,Web Desktop,0.19,0,0
TXN-2026-00107,2026-01-09 03:14:00,437700.0,Tarjeta Credito,Kushki,Chile,Mobile App Android,0.93,4,1
TXN-2026-00108,2026-07-15 06:15:00,29400.0,Prepago Digital,Getnet,Chile,Mobile App Android,0.05,0,0
TXN-2026-00109,2026-01-16 10:46:00,18700.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App iOS,0.16,0,0
TXN-2026-00110,2026-07-14 17:15:00,17000.0,Transferencia Khipu,Kushki,Chile,Mobile App Android,0.1,0,0
TXN-2026-00111,2026-06-17 18:21:00,32200.0,Tarjeta Debito,Kushki,Chile,Mobile App Android,0.15,0,0
TXN-2026-00112,2026-02-17 15:51:00,22500.0,Tarjeta Credito,Webpay Plus,Chile,Web Mobile,0.12,0,0
TXN-2026-00113,2026-08-13 02:22:00,18000.0,Tarjeta Credito,Webpay Plus,EE.UU.,Web Desktop,0.95,2,1
TXN-2026-00114,2026-01-23 23:08:00,23400.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App iOS,0.33,0,0
TXN-2026-00115,2026-02-20 11:26:00,33500.0,Tarjeta Debito,Getnet,Chile,Web Mobile,0.31,0,0
TXN-2026-00116,2026-04-24 09:16:00,8800.0,Tarjeta Credito,Kushki,Argentina,Web Desktop,0.45,0,0
TXN-2026-00117,2026-06-16 03:09:00,22200.0,Tarjeta Debito,Getnet,Perú,Web Desktop,0.9,4,1
TXN-2026-00118,2026-02-19 07:17:00,40400.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.29,0,0
TXN-2026-00119,2026-06-22 23:56:00,75300.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App iOS,0.17,0,0
TXN-2026-00120,2026-08-09 05:07:00,29700.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.4,0,0
TXN-2026-00121,2026-07-20 04:26:00,196400.0,Transferencia Khipu,Kushki,Chile,Web Mobile,0.75,4,1
TXN-2026-00122,2026-06-09 05:20:00,61000.0,Tarjeta Debito,Getnet,Chile,Web Desktop,0.09,1,0
TXN-2026-00123,2026-02-04 13:07:00,19000.0,Tarjeta Credito,Webpay Plus,Chile,Web Mobile,0.28,0,0
TXN-2026-00124,2026-01-17 22:58:00,4900.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App Android,0.2,1,0
TXN-2026-00125,2026-04-18 19:04:00,21100.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App Android,0.23,0,0
TXN-2026-00126,2026-01-06 19:21:00,14900.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App iOS,0.41,0,0
TXN-2026-00127,2026-04-02 09:08:00,8700.0,Transferencia Khipu,Getnet,Chile,Mobile App iOS,0.12,0,0
TXN-2026-00128,2026-01-25 05:40:00,21400.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App Android,0.34,1,0
