ID_Envio,Fecha_Despacho,Comuna_Destino,Distancia_KM,Tiempo_Prometido_Hrs,Tiempo_Real_Hrs,Estado_Entrega,Motivo_Falla,Tipo_Vehiculo,Costo_Envio_CLP
ENV-2026-00001,2026-07-12 21:49:00,La Florida,16.5,24.0,16.9,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5700.0
ENV-2026-00002,2026-07-16 18:19:00,San Bernardo,16.7,24.0,17.1,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5900.0
ENV-2026-00003,2026-08-25 15:37:00,Pudahuel,17.0,12.0,12.8,Entregado con Atraso,Cliente Ausente,Camión 3.5T,5600.0
ENV-2026-00004,2026-08-02 01:49:00,Las Condes,15.5,12.0,11.6,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5600.0
ENV-2026-00005,2026-07-20 09:16:00,La Florida,12.2,24.0,24.2,Entregado con Atraso,Tráfico/Congestión,Furgón Eléctrico,4700.0
ENV-2026-00006,2026-07-05 09:04:00,Las Condes,34.8,12.0,14.6,Entregado con Atraso,Tráfico/Congestión,Furgón Eléctrico,8100.0
ENV-2026-00007,2026-07-10 11:37:00,La Florida,5.7,24.0,38.2,Fallido,Cliente Ausente,Furgón Eléctrico,4300.0
ENV-2026-00008,2026-07-10 04:21:00,Puente Alto,27.4,24.0,19.9,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,7000.0
ENV-2026-00009,2026-07-23 04:11:00,Pudahuel,32.0,12.0,5.8,Entregado a Tiempo,Sin Falla,Motocicleta,7900.0
ENV-2026-00010,2026-07-23 07:20:00,Maipú,17.0,48.0,80.8,Fallido,Tráfico/Congestión,Furgón 1.5T,5500.0
ENV-2026-00011,2026-08-22 14:28:00,La Florida,9.5,48.0,47.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4400.0
ENV-2026-00012,2026-07-18 15:11:00,La Florida,9.1,24.0,14.8,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4600.0
ENV-2026-00013,2026-08-10 21:51:00,La Florida,33.2,12.0,9.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8400.0
ENV-2026-00014,2026-08-12 02:23:00,Puente Alto,22.1,48.0,53.6,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,6700.0
ENV-2026-00015,2026-07-16 21:36:00,Pudahuel,6.5,12.0,16.2,Fallido,Tráfico/Congestión,Furgón 1.5T,4000.0
ENV-2026-00016,2026-07-09 05:16:00,Maipú,34.0,24.0,45.5,Fallido,Zona Inaccesible,Furgón 1.5T,8000.0
ENV-2026-00017,2026-07-23 18:47:00,Las Condes,8.4,48.0,60.4,Entregado con Atraso,Cliente Ausente,Furgón 1.5T,4400.0
ENV-2026-00018,2026-08-12 04:23:00,La Florida,10.1,24.0,37.3,Fallido,Dirección Incorrecta,Furgón 1.5T,4300.0
ENV-2026-00019,2026-07-16 17:41:00,La Florida,20.6,12.0,14.2,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,5900.0
ENV-2026-00020,2026-08-28 04:27:00,Santiago,22.7,24.0,11.5,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,6900.0
ENV-2026-00021,2026-08-27 22:49:00,Las Condes,16.1,24.0,23.6,Entregado a Tiempo,Sin Falla,Camión 3.5T,5200.0
ENV-2026-00022,2026-08-08 14:24:00,Santiago,33.6,12.0,9.0,Entregado a Tiempo,Sin Falla,Camión 3.5T,8100.0
ENV-2026-00023,2026-08-12 16:45:00,La Florida,3.2,48.0,51.8,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,3900.0
ENV-2026-00024,2026-07-06 01:16:00,Las Condes,16.6,24.0,29.0,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,5900.0
ENV-2026-00025,2026-07-25 22:44:00,La Florida,33.1,24.0,11.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8400.0
ENV-2026-00026,2026-08-12 20:08:00,Quilicura,16.6,24.0,18.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5900.0
ENV-2026-00027,2026-08-23 11:05:00,Quilicura,33.8,24.0,22.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8200.0
ENV-2026-00028,2026-07-21 19:27:00,Santiago,28.5,24.0,27.3,Entregado con Atraso,Cliente Ausente,Camión 3.5T,7400.0
ENV-2026-00029,2026-08-05 09:58:00,Quilicura,27.6,24.0,20.5,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7400.0
ENV-2026-00030,2026-08-29 08:41:00,Maipú,13.5,24.0,34.9,Fallido,Cliente Ausente,Motocicleta,5100.0
ENV-2026-00031,2026-08-26 01:42:00,La Florida,9.3,24.0,26.1,Entregado con Atraso,Cliente Ausente,Furgón 1.5T,4800.0
ENV-2026-00032,2026-07-31 09:55:00,Maipú,23.6,24.0,10.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6400.0
ENV-2026-00033,2026-08-10 01:12:00,Maipú,30.6,48.0,69.3,Fallido,Tráfico/Congestión,Furgón 1.5T,7900.0
ENV-2026-00034,2026-07-01 00:16:00,Quilicura,28.8,24.0,23.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7100.0
ENV-2026-00035,2026-07-17 02:21:00,Quilicura,7.3,24.0,28.4,Entregado con Atraso,Cliente Ausente,Camión 3.5T,4000.0
ENV-2026-00036,2026-07-17 13:58:00,Las Condes,12.9,24.0,20.5,Entregado a Tiempo,Sin Falla,Motocicleta,5400.0
