ID_Ticket,Fecha_Apertura,Fecha_Cierre,Pais,Plataforma,Canal_Atencion,Categoria_Problema,Prioridad,Tiempo_Resolucion_Horas,CSAT_Satisfaccion
TCK-2024-00001,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Android,ChatBot Web,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00002,2026-08-29 06:16:18,2026-08-29 17:02:41,Argentina,Android,ChatBot Web,Error de Autenticación / Login,Media,10.77,3
TCK-2024-00003,2026-08-28 06:54:07,2026-09-01 07:09:27,México,Android,Redes Sociales,Falla en Reproducción / Error System,Baja,96.26,1
TCK-2024-00004,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,iOS,Formulario App,Falla en Reproducción / Error System,Baja,106.59,1
TCK-2024-00005,2026-08-27 10:52:04,2026-08-27 21:46:43,Argentina,Android,Email Soporte,Falla en Reproducción / Error System,Alta,10.91,3
TCK-2024-00006,2026-08-27 00:19:15,2026-08-29 00:02:05,México,iOS,ChatBot Web,Interfaz No Responsiva / UX,Baja,47.71,1
TCK-2024-00007,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Smart TV,Formulario App,Error de Autenticación / Login,Baja,5.47,4
TCK-2024-00008,2026-09-01 18:05:02,2026-09-01 20:21:02,México,Smart TV,Email Soporte,Error de Autenticación / Login,Baja,2.27,4
TCK-2024-00009,2026-08-29 06:16:18,2026-08-29 17:02:41,Colombia,Smart TV,Redes Sociales,Error de Autenticación / Login,Alta,10.77,3
TCK-2024-00010,2026-08-28 06:54:07,2026-09-01 07:09:27,Perú,Web Browser,Redes Sociales,Falla en Reproducción / Error System,Media,96.26,3
TCK-2024-00011,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Android,Formulario App,Falla en Reproducción / Error System,Media,106.59,1
TCK-2024-00012,2026-08-27 10:52:04,2026-08-27 21:46:43,Argentina,Web Browser,ChatBot Web,Falla en Reproducción / Error System,Crítica,10.91,3
TCK-2024-00013,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,iOS,Email Soporte,Interfaz No Responsiva / UX,Crítica,47.71,1
TCK-2024-00014,2026-08-22 20:22:44,2026-08-23 01:50:47,México,Smart TV,Redes Sociales,Error de Autenticación / Login,Alta,5.47,3
TCK-2024-00015,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Web Browser,ChatBot Web,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00016,2026-08-29 06:16:18,2026-08-29 17:02:41,Argentina,Android,ChatBot Web,Error de Autenticación / Login,Crítica,10.77,4
TCK-2024-00017,2026-08-28 06:54:07,2026-09-01 07:09:27,Colombia,Smart TV,Email Soporte,Falla en Reproducción / Error System,Media,96.26,2
TCK-2024-00018,2026-08-27 11:09:57,2026-08-31 21:45:31,Argentina,Android,Formulario App,Falla en Reproducción / Error System,Alta,106.59,1
TCK-2024-00019,2026-08-27 10:52:04,2026-08-27 21:46:43,Colombia,Android,ChatBot Web,Falla en Reproducción / Error System,Baja,10.91,3
TCK-2024-00020,2026-08-27 00:19:15,2026-08-29 00:02:05,México,Web Browser,Formulario App,Interfaz No Responsiva / UX,Baja,47.71,1
TCK-2024-00021,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Web Browser,ChatBot Web,Error de Autenticación / Login,Alta,5.47,4
TCK-2024-00022,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Smart TV,Email Soporte,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00023,2026-08-29 06:16:18,2026-08-29 17:02:41,Chile,Web Browser,Formulario App,Error de Autenticación / Login,Baja,10.77,4
TCK-2024-00024,2026-08-28 06:54:07,2026-09-01 07:09:27,Colombia,iOS,Formulario App,Falla en Reproducción / Error System,Media,96.26,1
TCK-2024-00025,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Web Browser,ChatBot Web,Falla en Reproducción / Error System,Baja,106.59,1
TCK-2024-00026,2026-08-27 10:52:04,2026-08-27 21:46:43,México,Android,Redes Sociales,Falla en Reproducción / Error System,Media,10.91,3
TCK-2024-00027,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Web Browser,ChatBot Web,Interfaz No Responsiva / UX,Media,47.71,1
TCK-2024-00028,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Smart TV,Email Soporte,Error de Autenticación / Login,Media,5.47,3
TCK-2024-00029,2026-09-01 18:05:02,2026-09-01 20:21:02,Argentina,iOS,Redes Sociales,Error de Autenticación / Login,Alta,2.27,5
TCK-2024-00030,2026-08-29 06:16:18,2026-08-29 17:02:41,Colombia,iOS,Formulario App,Error de Autenticación / Login,Media,10.77,2
TCK-2024-00031,2026-08-28 06:54:07,2026-09-01 07:09:27,México,iOS,Redes Sociales,Falla en Reproducción / Error System,Media,96.26,2
TCK-2024-00032,2026-08-27 11:09:57,2026-08-31 21:45:31,Colombia,Web Browser,Formulario App,Falla en Reproducción / Error System,Media,106.59,3
TCK-2024-00033,2026-08-27 10:52:04,2026-08-27 21:46:43,Argentina,iOS,Email Soporte,Falla en Reproducción / Error System,Alta,10.91,2
TCK-2024-00034,2026-08-27 00:19:15,2026-08-29 00:02:05,Argentina,Web Browser,Redes Sociales,Interfaz No Responsiva / UX,Baja,47.71,1
TCK-2024-00035,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,iOS,ChatBot Web,Error de Autenticación / Login,Media,5.47,2
TCK-2024-00036,2026-09-01 18:05:02,2026-09-01 20:21:02,Argentina,Smart TV,Email Soporte,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00037,2026-08-29 06:16:18,2026-08-29 17:02:41,Colombia,Smart TV,ChatBot Web,Error de Autenticación / Login,Media,10.77,3
